KEYS,en,fr
TEST_MSG,This message is in english,Ce message est en français
E_CommandError,En E_CommandError,Fr E_CommandError
E_MissingRequiredArgument,En E_MissingRequiredArgument,Fr E_MissingRequiredArgument
PROFIL_OF,Profil of {member},Profil de {member}
CHANGE_LANGUAGE,({lang}) Change language to english,({lang}) Change la langue en français
LANGUAGE_CHANGED,Language changed to english,Langage changé en français
NO_TRANSLATION,This language currently has no translation,Cette langue n'a actuellement pas de traduction
PREFIX_CHANGED,Prefix changed to `{prefix}`,Préfix changé en `{prefix}`
RESET_MEMBER_CONFIRMATION,Do you really want to reset {member}?,Voulez-vous vraiment réinitialiser {member} ?
WARNING,WARNING,ATTENTION
RESET_DONE,Reset done,Réinitialiser effectué
RESET_CANCELED,Reset canceled,Réinitialiser annulé
MEMBER_HAS_BEEN_RESET,{member} has been reset,{member} a été réinitialisé
MEMBER_HAS_NOT_BEEN_RESET,{member} has not been reset,{member} n'a pas été réinitialisé
MESSAGE_SENT,Message sent,Message envoyé
